produto_descricao;produto_quantidade;produto_unidade_comercial;produto_valor_unitario_comercializacao;nota_data_emissao
A0;23568;UN;14,13;20210420
A0;25082;UN;14,13;20210420
A0;25430;UN;14,13;20210922
A0;25463;UN;12,84;20210209
A0;25800;UN;12,84;20210209
A0;25864;UN;12,84;20210202
A0;25872;UN;12,84;20210210
A0;25963;UN;14,13;20210930
A0;25978;UN;12,84;20210203
A0;26035;UN;14,13;20210922
A0;26091;UN;14,13;20210930
A0;25536;UN;12,84;20201214
A0;25920;UN;12,84;20201218
A1;100;MG;30,5207;20210503
A2;50;MG;25,0764;20210503
A3;50;MG;71,353;20210503
A4;50;MG;22,3542;20210503
A5;1000;KG;47,503;20210205
A5;2000;KG;47,503;20210205
A5;4000;KG;47,503;20210205
A6;2000;KG;43,9974;20210212
A6;3000;KG;54,4964;20210721
A6;4000;KG;43,9974;20210212
A6;4000;KG;43,9974;20210212
A6;4000;KG;54,4964;20210721
A6;4000;KG;54,4964;20210721
A7;500;KG;121,7801;20210517
A7;950;KG;101,0083;20210913
A7;4050;KG;101,0083;20210913
A7;4500;KG;121,7801;20210517
A7;25;KG;126,1356;20210303
A7;25;KG;131,09;20210401
A7;700;KG;101,6347;20210913
A7;2300;KG;101,1193;20210913
A7;2500;KG;101,1067;20210913
A7;2525;KG;131,09;20210401
A7;2700;KG;101,0959;20210913
A7;2900;KG;122,1849;20210517
A7;3150;KG;126,1356;20210303
A7;6575;KG;126,1356;20210303
A8;180;UN;7,7;20210315
A8;270;UN;7,7;20210326
A8;315;UN;7,7;20210318
A8;540;UN;8,48;20210724
A8;630;UN;8,48;20210621
A8;675;UN;8,48;20210922
A8;720;UN;7,7;20210228
A8;1080;UN;8,48;20210716
A9;1;UN;145,58;20210923
A9;2;UN;145,58;20210908
A9;5;UN;145,58;20210707
A9;20;UN;132,25;20210228
B0;2;UN;32,02;20210610
B0;60;UN;29,09;20210228
B0;60;UN;32,02;20210508
B0;60;UN;32,02;20210724
B0;120;UN;29,09;20210329
B0;180;UN;32,02;20210529
B0;180;UN;32,02;20210805
B0;180;UN;32,02;20210919
B0;420;UN;29,09;20210228
B0;540;UN;29,09;20210228
B0;540;UN;29,09;20210322
B0;720;UN;32,02;20210621
B0;780;UN;29,09;20210318
B0;960;UN;29,09;20210315
B0;1380;UN;32,02;20210511
B1;13;UN;8,96;20210508
B1;19;UN;8,96;20210511
B1;29;UN;8,96;20210923
B1;45;UN;8,96;20210529
B1;45;UN;8,96;20210622
B1;45;UN;8,96;20210724
B1;45;UN;8,96;20210805
B1;45;UN;8,96;20210908
B1;45;UN;8,96;20210908
B1;45;UN;8,96;20210621
B1;45;UN;8,96;20210716
B2;13;UN;11,42;20210610
B2;24;UN;11,42;20210511
B2;96;UN;10,37;20210228
B2;144;UN;10,37;20210315
B2;168;UN;10,37;20210130
B2;216;UN;10,37;20210326
B2;240;UN;11,42;20210919
B2;264;UN;10,37;20210318
B2;336;UN;11,42;20210724
B2;552;UN;11,42;20210621
B3;24;UN;22,81;20210610
B3;96;UN;20,72;20210130
B3;96;UN;20,72;20210315
B3;120;UN;20,72;20210326
B3;144;UN;20,72;20210318
B3;144;UN;22,81;20210724
B3;312;UN;20,72;20210228
B3;360;UN;22,81;20210716
A8;495;UN;8,48;20210922
B0;9;UN;32,02;20210923
B0;19;UN;32,02;20210910
B0;120;UN;32,02;20210919
B0;180;UN;32,02;20210930
B0;420;UN;32,02;20210930
B1;90;UN;8,96;20210908
B0;3083;UN;32,47;20210820
A8;9;UN;8,6;20210611
A8;9;UN;8,6;20210707
A8;16;UN;8,6;20210609
A8;45;UN;8,6;20210922
A8;90;UN;8,6;20210522
A8;180;UN;8,6;20210608
A8;225;UN;8,6;20210816
A8;405;UN;8,6;20210922
A8;540;UN;8,6;20210724
A8;585;UN;8,6;20210716
A8;630;UN;8,6;20210621
B0;20;UN;32,47;20210805
B0;43;UN;32,47;20210611
B0;60;UN;32,47;20210806
B0;120;UN;29,5;20210228
B0;180;UN;32,47;20210816
B0;240;UN;32,47;20210608
B0;300;UN;32,47;20210919
B0;360;UN;29,5;20210318
B0;480;UN;29,5;20210322
B0;480;UN;32,47;20210724
B0;540;UN;29,5;20210228
B0;660;UN;29,5;20210316
B0;720;UN;29,5;20210228
B0;900;UN;32,47;20210621
B1;5;UN;9,09;20210911
B1;6;UN;9,09;20210908
B1;45;UN;8,26;20210220
B1;45;UN;8,26;20210318
B1;45;UN;8,26;20210329
B1;45;UN;9,09;20210508
B1;45;UN;9,09;20210529
B1;45;UN;9,09;20210622
B1;45;UN;9,09;20210908
B1;45;UN;9,09;20210908
B1;45;UN;9,09;20210621
B1;45;UN;9,09;20210716
B1;180;UN;9,09;20210919
B4;45;UN;4,56;20210220
B4;45;UN;5,02;20210608
B4;45;UN;5,02;20210422
B2;2;UN;11,58;20210707
B2;24;UN;10,51;20210220
B2;24;UN;10,51;20210318
B2;24;UN;11,58;20210721
B2;48;UN;10,51;20210220
B2;72;UN;11,58;20210816
B2;96;UN;10,51;20210228
B2;120;UN;10,51;20210327
B2;168;UN;11,58;20210724
B2;192;UN;11,58;20210919
B2;288;UN;10,51;20210316
B2;336;UN;11,58;20210621
B3;48;UN;21,01;20210318
B3;48;UN;23,13;20210707
B3;72;UN;23,13;20210529
B3;72;UN;23,13;20210611
B3;96;UN;23,13;20210816
B3;144;UN;21,01;20210327
B3;168;UN;21,01;20210316
B3;216;UN;23,13;20210608
B3;216;UN;23,13;20210724
B3;432;UN;21,01;20210228
B3;624;UN;23,13;20210716
A8;45;UN;8,48;20210604
A8;45;UN;8,48;20210419
A8;90;UN;7,7;20210220
